"Timor-Leste","1318445","89","20.8","32.8"
"Togo","8278724","152","19","43"
"Trinidad en Tobago","1399488","273","36","52"
"Tunesië","11818619","76","33","70"
"Turkije","84339067","110","32","76"
"Verenigde Staten","331002651","36","38","83"
"Oeganda","45741007","229","16.7","25.7"
"Oekraïne","43733762","75","41","69"
"Verenigde Arabische Emiraten","9890402","118","33","86"
"Verenigd Koninkrijk","67886011","281","40","83"
"Uruguay","3473730","20","36","96"
"Oezbekistan","33469203","79","28","50"
"Venezuela","28435940","32","30","80"
"Vietnam","97338579","314","32","38"
"Zambia","18383955","25","18","45"
"Zimbabwe","14862924","38","18.7","38.4"
